Circuit: * D:\Code\PSPICE\Schematic\integrator.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 3.4171e-007 to 3.4171e-007
Heightened Def Con from 0.00501956 +++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +to 0.00501956
Heightened Def Con from 0.00501956 ++to 0.00501956
Heightened Def Con from 0.00501956 ++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 +++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00501956 ++++to 0.00501956
Heightened Def Con from 0.00501956 to 0.00501956
Heightened Def Con from 0.00503797 to 0.00503797
Heightened Def Con from 0.00503797 to 0.00503797
Heightened Def Con from 0.00505916 ++to 0.00505916
Heightened Def Con from 0.00505916 to 0.00505916
Heightened Def Con from 0.00505916 to 0.00505916
Heightened Def Con from 0.00505916 to 0.00505916
Heightened Def Con from 0.00505916 to 0.00505916
Heightened Def Con from 0.00505916 +to 0.00505916
Heightened Def Con from 0.00505916 +++++++++++++to 0.00505916
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 +to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 +to 0.00507511
Heightened Def Con from 0.00507511 ++to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 +to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00507511 to 0.00507511
Heightened Def Con from 0.00509612 to 0.00509612
Heightened Def Con from 0.00509612 +++++++++++++++++to 0.00509612
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 +to 0.00511207
Heightened Def Con from 0.00511207 +to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 +to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 +to 0.00511207
Heightened Def Con from 0.00511207 to 0.00511207
Heightened Def Con from 0.00511207 ++to 0.00511207
Heightened Def Con from 0.00511207 +++to 0.00511207
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 ++++to 0.00513326
Heightened Def Con from 0.00513326 ++to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 +++++to 0.00513326
Heightened Def Con from 0.00513326 ++++++to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 +to 0.00513326
Heightened Def Con from 0.00513326 ++to 0.00513326
Heightened Def Con from 0.00513326 ++to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 to 0.00513326
Heightened Def Con from 0.00513326 +++++++++++++++++++++to 0.00513326
Heightened Def Con from 0.00514921 to 0.00514921
Heightened Def Con from 0.00514921 to 0.00514921
Heightened Def Con from 0.00514921 to 0.00514921
Heightened Def Con from 0.00514921 ++to 0.00514921
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 ++to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 +to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 +to 0.00517022
Heightened Def Con from 0.00517022 +++++to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 ++to 0.00517022
Heightened Def Con from 0.00517022 +to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 +to 0.00517022
Heightened Def Con from 0.00517022 ++++to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 to 0.00517022
Heightened Def Con from 0.00517022 ++++++++++++++++to 0.00517022
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 ++to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 ++++to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 +++to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 +to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
Heightened Def Con from 0.00518615 to 0.00518615
